正反同义标签,格式标签,否定式,肯定式
0,不要太a,上班族和学生在长假的最后一天不要太疲劳，要积极做好心理调适，以适应上班上学后紧张的节奏。,上班族和学生在长假的最后一天太疲劳，要积极做好心理调适，以适应上班上学后紧张的节奏。
0,不要太a,但愿这一天不要太远，"波罗莫说："因为，虽然我没有要求各位的帮助，但我们的确迫切需要援助。,但愿这一天太远，"波罗莫说："因为，虽然我没有要求各位的帮助，但我们的确迫切需要援助。
0,不要太a,她并不是不晓得母亲所打的如意算盘，眼见这两年来冷家一直衰败，真晨早有了牺牲自己做“政策联姻”的心理准备，只是她希望那一天不要太早到来……换好了便服，真晨接例去陪爷爷。,她并不是不晓得母亲所打的如意算盘，眼见这两年来冷家一直衰败，真晨早有了牺牲自己做“政策联姻”的心理准备，只是她希望那一天太早到来……换好了便服，真晨接例去陪爷爷。
0,不要太a,这是必然的结果，而他只能祈扮这天不要太快来临。,这是必然的结果，而他只能祈扮这天太快来临。
0,不要太a,要设法使她的损失不要太大，这一点是相当重要的。,要设法使她的损失太大，这一点是相当重要的。
0,不要太a,包时包子皮可一面打褶，使之美观，也可包圆形、长形，包子个头不要太大，巴掌心大小为好。,包时包子皮可一面打褶，使之美观，也可包圆形、长形，包子个头太大，巴掌心大小为好。
0,不要太a,总的来讲，牙刷头不要太大，这样便于在口腔内转动；牙刷毛要柔软而有弹性，便于进入牙龈沟和牙缝内；刷毛顶端要磨呈半球形以保护牙面和牙龈；牙刷的长度宽度和形状要适合把握。,总的来讲，牙刷头太大，这样便于在口腔内转动；牙刷毛要柔软而有弹性，便于进入牙龈沟和牙缝内；刷毛顶端要磨呈半球形以保护牙面和牙龈；牙刷的长度宽度和形状要适合把握。
0,不要太a,４．４注射疫苗的针头不要太粗，否则疫苗易外溢。,４．４注射疫苗的针头太粗，否则疫苗易外溢。
0,不要太a,针对我国股市存在的问题，与会专家学者提出了好些对策：针对股市扩容过速的问题，有的专家认为扩容是必要的，但要掌握好适当的节奏，总的来说就是上市节奏不要太快，要考虑市场承受能力。,针对我国股市存在的问题，与会专家学者提出了好些对策：针对股市扩容过速的问题，有的专家认为扩容是必要的，但要掌握好适当的节奏，总的来说就是上市节奏太快，要考虑市场承受能力。
0,不要太a,但我警告侄女不要太认真，因为这只能招来更头痛的事。,但我警告侄女太认真，因为这只能招来更头痛的事。
0,不要太a,断奶不要太突然，否则仔猪易发生应激反应，诱发大肠埃希菌的大量繁殖并产生毒素，导致仔猪发病；对断奶仔猪要逐渐改变饲料，喂量逐渐增加，防止饲喂单一饲料，增加含无机盐和饲料，如青绿饲料和麦麸等，还应补充含硒、维生素Ｅ的饲料。,断奶太突然，否则仔猪易发生应激反应，诱发大肠埃希菌的大量繁殖并产生毒素，导致仔猪发病；对断奶仔猪要逐渐改变饲料，喂量逐渐增加，防止饲喂单一饲料，增加含无机盐和饲料，如青绿饲料和麦麸等，还应补充含硒、维生素Ｅ的饲料。
0,不要太a,断奶不要太突然，头几天先减少吃奶次数，然后把母猪转栏，乳猪在原圈内饲养。,断奶太突然，头几天先减少吃奶次数，然后把母猪转栏，乳猪在原圈内饲养。
0,不要太a,断奶不要太突然，不要突然改变饲料和饲养方法。,断奶太突然，不要突然改变饲料和饲养方法。
0,不要太a,两个女人坐在树荫下，文荃心非常的贤慧帮忙剥花生，因为左天绿突然想学人家做花生酥——虽然很多人都“恳求”她不要太辛劳。而她自己则是动口派大师，凉凉地替沈盈盈梳发绑辫子，而且是类似黑人的那种，一整颗头上百条小小辫子乱窜。,两个女人坐在树荫下，文荃心非常的贤慧帮忙剥花生，因为左天绿突然想学人家做花生酥——虽然很多人都“恳求”她太辛劳。而她自己则是动口派大师，凉凉地替沈盈盈梳发绑辫子，而且是类似黑人的那种，一整颗头上百条小小辫子乱窜。
0,不要太a,大过年，无法与当地组织联系，她带着希冀而来，又带着惆而归……三塍继续想方设法与琦联系，知情人劝她不要太认真。但她却执意要找到琦，了解她的处境，帮人要帮到底。,大过年，无法与当地组织联系，她带着希冀而来，又带着惆而归……三塍继续想方设法与琦联系，知情人劝她太认真。但她却执意要找到琦，了解她的处境，帮人要帮到底。
0,不要太a,有的同志劝她不要太认真了，但王建平却固执地说：“不行，我不能让这样一个屡教不改的罪犯得到放纵！,有的同志劝她太认真了，但王建平却固执地说：“不行，我不能让这样一个屡教不改的罪犯得到放纵！
0,不要太a,原振侠心中生出了一股爱怜，想劝她不要太劳累了，可是还没有开口，黄绢已急急道：“你看……”原振侠这才去注意手中的纸，对于那种纸张，他并不陌生，那是计算机终端机上传出来的纸张。,原振侠心中生出了一股爱怜，想劝她太劳累了，可是还没有开口，黄绢已急急道：“你看……”原振侠这才去注意手中的纸，对于那种纸张，他并不陌生，那是计算机终端机上传出来的纸张。
0,不要太a,劝她不要太伤心，就把帕里斯来求婚，她父亲答应他们在星期四举行婚礼的事告诉了她。,劝她太伤心，就把帕里斯来求婚，她父亲答应他们在星期四举行婚礼的事告诉了她。
0,不要太a,在积淀沉久的习俗中，“顶头上司”是最得罪不起的，一些好心人担心香的处境，劝她不要太认真。大齐初一更是替香捏着一把汗，劝香：“你看哪个纪检委员像你那么积极，跟着上边人查自己的领导，等人家一走，就剩个你，有事都是你的。,在积淀沉久的习俗中，“顶头上司”是最得罪不起的，一些好心人担心香的处境，劝她太认真。大齐初一更是替香捏着一把汗，劝香：“你看哪个纪检委员像你那么积极，跟着上边人查自己的领导，等人家一走，就剩个你，有事都是你的。
0,不要太a,你好好安慰她，劝她不要太难过。李克人是很好，但他既然对她没有喜欢的感情，总也不能勉强。,你好好安慰她，劝她太难过。李克人是很好，但他既然对她没有喜欢的感情，总也不能勉强。
0,不要太a,妈妈看着很心疼，劝她不要太苦了自己。,妈妈看着很心疼，劝她太苦了自己。
0,不要太a,赵香的用意是要警告她不要太过火，哪知李媚心一听火气更大。,赵香的用意是要警告她太过火，哪知李媚心一听火气更大。
0,不要太a,象这样的时候，倒是老大或老三每在旁边喝止她，教她不要太过分了，而我这被打责的，反而要很诚恳的央告她们，不要出来干涉。,象这样的时候，倒是老大或老三每在旁边喝止她，教她太过分了，而我这被打责的，反而要很诚恳的央告她们，不要出来干涉。
0,不要太a,木兰花早已看出了安妮随时随地，都可以大哭出来的，是以她一直握着安妮的手，在鼓励着安妮，希望她不要太冲动。安妮总算一直忍着，但是她却很少说话。,木兰花早已看出了安妮随时随地，都可以大哭出来的，是以她一直握着安妮的手，在鼓励着安妮，希望她太冲动。安妮总算一直忍着，但是她却很少说话。
0,不要太a,这个时候你一定指望着她不要太快就接听，能让你慢慢欣赏完全曲才好。,这个时候你一定指望着她太快就接听，能让你慢慢欣赏完全曲才好。
0,不要太a,”阎曜季试图让她不要太难过。他不离开家最大的原因并不是为了要照顾行动不便的她，而是敌人在暗，他必须防止发生突发状况，他感觉得出要捉她的白昆是誓在必得，白昆会直接让她见血实在是走一着险棋，而会让白昆急得一反常态必有重要原因！,”阎曜季试图让她太难过。他不离开家最大的原因并不是为了要照顾行动不便的她，而是敌人在暗，他必须防止发生突发状况，他感觉得出要捉她的白昆是誓在必得，白昆会直接让她见血实在是走一着险棋，而会让白昆急得一反常态必有重要原因！
0,不要太a,”校长、老师和周围的人鼓励她，让她不要太紧张。“张叔叔，我谢谢您啦！,”校长、老师和周围的人鼓励她，让她太紧张。“张叔叔，我谢谢您啦！
0,不要太a,老师先安慰一下春雨，让她不要太着急，因为就算是失踪报案也要超过24小时。,老师先安慰一下春雨，让她太着急，因为就算是失踪报案也要超过24小时。
0,不要太a,若真能当一辈子的愚妇，爱着他守着他，那女人最好不要太聪明，可是——她办得到吗？,若真能当一辈子的愚妇，爱着他守着他，那女人最好太聪明，可是——她办得到吗？
0,不要太a,由此庄建非又得出一个认识：女人最好不要太多书本知识，不要太清醒太讲条理，朦胧柔和像一团云就可以了。,由此庄建非又得出一个认识：女人最好太多书本知识，不要太清醒太讲条理，朦胧柔和像一团云就可以了。
0,不要太a,人最好不要太自满。”当初，若不是在钱鬼和恰北面前立下了誓约：“带回骆珍珍。,人最好太自满。”当初，若不是在钱鬼和恰北面前立下了誓约：“带回骆珍珍。
0,不要太a,而廷旭表哥则是阴沉地瞪著他，好像在警告他最好不要太过分。喔哦，得快点想个法子打圆场，不过，必须先将那个大嘴巴堵起来才行。,而廷旭表哥则是阴沉地瞪著他，好像在警告他最好太过分。喔哦，得快点想个法子打圆场，不过，必须先将那个大嘴巴堵起来才行。
0,不要太a,“你的动作最好不要太慢，因为，你还得赶着去照顾我的夫人。,“你的动作最好太慢，因为，你还得赶着去照顾我的夫人。
0,不要太a,“你最好不要太冲动，妄逞英雄通常不会有好下场。,“你最好太冲动，妄逞英雄通常不会有好下场。
0,不要太a,“她是在里面没错，但是你最好不要太冲动，否则倒霉的是她。,“她是在里面没错，但是你最好太冲动，否则倒霉的是她。
0,不要太a,“泰勒，你最好不要太自满。人家说‘三个臭皮匠，胜过一个诸葛亮’，更何况我跟我大哥是天才中的天才，调起情来，也不见得会输你。,“泰勒，你最好太自满。人家说‘三个臭皮匠，胜过一个诸葛亮’，更何况我跟我大哥是天才中的天才，调起情来，也不见得会输你。
0,不要太a,”“股长，你最好不要太爽快的答应。,”“股长，你最好太爽快的答应。
0,不要太a,”林哥哥小心翼翼地回答：“我们事前接到的命令是：在最好不要太大及大直接的冲突下，尽量带天下第七回来。,”林哥哥小心翼翼地回答：“我们事前接到的命令是：在最好太大及大直接的冲突下，尽量带天下第七回来。
0,不要太a,”“因为他本来就要来找我，解释一下目前的情况，以及不能在此刻更动戍军的原因，这一个理由才是他要来的原因，但是他对夫子已经起了戒心，自然不会让夫子知道的，他问计于夫子，只是为了看看夫子对他的行动了解多少，所以为夫子本身安危计，夫子最好不要太精明，随便捏造一个使他放心，又能叫他相信的理由，老朽装成完全不知情，不就行了吗？,”“因为他本来就要来找我，解释一下目前的情况，以及不能在此刻更动戍军的原因，这一个理由才是他要来的原因，但是他对夫子已经起了戒心，自然不会让夫子知道的，他问计于夫子，只是为了看看夫子对他的行动了解多少，所以为夫子本身安危计，夫子最好太精明，随便捏造一个使他放心，又能叫他相信的理由，老朽装成完全不知情，不就行了吗？
0,不要太a,答：很多男人觉得，女性最好不要太能干，所以如果黄蓉当老婆，大家都怕，什么行动都没了，所以我最不喜欢黄蓉当老婆。,答：很多男人觉得，女性最好太能干，所以如果黄蓉当老婆，大家都怕，什么行动都没了，所以我最不喜欢黄蓉当老婆。
0,不要太a,而且，为了不让恐怖份子起疑，所以和你们同机前去的先锋保护最好不要太多，大概两个最恰当，是不是？,而且，为了不让恐怖份子起疑，所以和你们同机前去的先锋保护最好太多，大概两个最恰当，是不是？
0,不要太a,”杨方鹤望着朱盈盈面现难色，道：“二先生的希望是，会晤之时人数最好不要太多……”“多我一个何妨……”朱盈盈急急地接道：“肖大哥不离开，我也绝不会走……”肖寒月接道：“盈盈，不可太任性……”杨方鹤接道：“好吧，杨某人再越权一次，姑娘可以留下，但绝对不能再多了。,”杨方鹤望着朱盈盈面现难色，道：“二先生的希望是，会晤之时人数最好太多……”“多我一个何妨……”朱盈盈急急地接道：“肖大哥不离开，我也绝不会走……”肖寒月接道：“盈盈，不可太任性……”杨方鹤接道：“好吧，杨某人再越权一次，姑娘可以留下，但绝对不能再多了。
0,不要太a,我们先在鼠标左下脚用铅笔标出我们需要打孔的位置，图案由你自己来定，但是图案最好不要太复杂，否则对你的打孔技术将是一个考验。,我们先在鼠标左下脚用铅笔标出我们需要打孔的位置，图案由你自己来定，但是图案最好太复杂，否则对你的打孔技术将是一个考验。
0,不要太a,既然是大家族，衣着最好不要太寒酸。我们走嵩山南阳这条路，经过三峡去云南。,既然是大家族，衣着最好太寒酸。我们走嵩山南阳这条路，经过三峡去云南。
0,不要太a,希望有幼师方面的经验，要有爱心，高中文化，年纪最好不要太大。月薪1000元以上。,希望有幼师方面的经验，要有爱心，高中文化，年纪最好太大。月薪1000元以上。
0,不要太a,衬衫、马甲、毛衣或或花，但颜色最好不要太多太杂，图案的选择也要适合自己的体型和气质。,衬衫、马甲、毛衣或或花，但颜色最好太多太杂，图案的选择也要适合自己的体型和气质。
0,不要太a,”龙婆婆的脸色更难看了：“小娃儿，在老身面前，你说话最好不要太放肆，不管她是什么姑娘，你们凭什么向老身要人？,”龙婆婆的脸色更难看了：“小娃儿，在老身面前，你说话最好太放肆，不管她是什么姑娘，你们凭什么向老身要人？
0,不要太a,所以，劝劝你丈夫，最好不要太固执，我们并不愿对一位母亲和婴儿下手。,所以，劝劝你丈夫，最好太固执，我们并不愿对一位母亲和婴儿下手。
0,不要太a,最好不要太高的，而且是在台北附近的。,最好太高的，而且是在台北附近的。
0,不要太a,“代币”通常有以下一些特点：安全，如不要用尖利的东西；控制数量，不能随意发放；耐用，免得经常更换；易收藏，如不要太大；便宜，最好是可以自己制作的；非孩子喜爱之物，因为这不是真正的奖品。,“代币”通常有以下一些特点：安全，如不要用尖利的东西；控制数量，不能随意发放；耐用，免得经常更换；易收藏，如太大；便宜，最好是可以自己制作的；非孩子喜爱之物，因为这不是真正的奖品。
0,不要太a,样品消化温度，时间的影响要适当控制，开始不要太高（１００℃），不然易发生爆，造成碘的损失表１三种方法测定尿碘结果佳木斯碱灰化法天津碱灰化法酸消化法ｘ回收率（％）６３６１００２９９２回收率范围（％）６００～６８９９３２～１０９２９４７～１０１７标准差（ｓ）３３４８２３变异系数所以消化温度掌握在１３０～１５０℃约１～１５小时就可消化完全。,样品消化温度，时间的影响要适当控制，开始太高（１００℃），不然易发生爆，造成碘的损失表１三种方法测定尿碘结果佳木斯碱灰化法天津碱灰化法酸消化法ｘ回收率（％）６３６１００２９９２回收率范围（％）６００～６８９９３２～１０９２９４７～１０１７标准差（ｓ）３３４８２３变异系数所以消化温度掌握在１３０～１５０℃约１～１５小时就可消化完全。
0,不要太a,方大小姐不要太多心了。,方大小姐太多心了。
0,不要太a,”“小姑娘不要太伤心了。,”“小姑娘太伤心了。
0,不要太a,”君惟明笑吟吟的道：“师叔不是特别交待我，对金姑娘不要太残酷么？,”君惟明笑吟吟的道：“师叔不是特别交待我，对金姑娘太残酷么？
0,不要太a,”邵倩云本想好好羞辱她一番，没想到她竟主动过来施礼，自是不好意思再说什么，只是脸上仍旧冷冰冰的，微微还礼，“不敢当，姑娘不要太客气。”她二人暗暗打量对方，都在心中赞叹不已。,”邵倩云本想好好羞辱她一番，没想到她竟主动过来施礼，自是不好意思再说什么，只是脸上仍旧冷冰冰的，微微还礼，“不敢当，姑娘太客气。”她二人暗暗打量对方，都在心中赞叹不已。
0,不要太a,”王海笑笑说：“如果是就这事儿，不算什么，娜娜不要太着急，春花你也不要太紧张。,”王海笑笑说：“如果是就这事儿，不算什么，娜娜太着急，春花你也不要太紧张。
0,不要太a,小平同志听了满脸笑容地说，我们的人民需要房子；我们要尽快把新型建筑材料工厂办起来，要大批量生产；厂子不要太大，要搞专业化生产，要讲究质量──包括美观，花样要多一些，要降低造价。,小平同志听了满脸笑容地说，我们的人民需要房子；我们要尽快把新型建筑材料工厂办起来，要大批量生产；厂子太大，要搞专业化生产，要讲究质量──包括美观，花样要多一些，要降低造价。
0,不要太a,茹小意的手指尖端触及他的衣襟，很希望能借助一些什么来使这个人孩子不要太腼腆：“你无意的。,茹小意的手指尖端触及他的衣襟，很希望能借助一些什么来使这个人孩子太腼腆：“你无意的。
0,不要太a,“有没有人告诉你，女孩子不要太聪明？”“没有。,“有没有人告诉你，女孩子太聪明？”“没有。
0,不要太a,袁盎知道了以后装糊涂，视而不见，置若罔闻，照旧信任他的这个下属，后来有人就给他的下属说，说你小子不要太得意了，老爷已经知道了，于是这个下属就畏罪潜逃，袁盎听说以后骑上马，把这个下属追了回来，说你不要走，我把这个婢女，把这个丫鬟赐给你，你们两个正式结合吧。,袁盎知道了以后装糊涂，视而不见，置若罔闻，照旧信任他的这个下属，后来有人就给他的下属说，说你小子太得意了，老爷已经知道了，于是这个下属就畏罪潜逃，袁盎听说以后骑上马，把这个下属追了回来，说你不要走，我把这个婢女，把这个丫鬟赐给你，你们两个正式结合吧。
0,不要太a,记者了解到，许多市民尤其是外地游客都有这个心愿，登上观光平台观赏浦江两岸美景，希望观光平台对公众开放的日子不要太遥远。读者汪子太反映,记者了解到，许多市民尤其是外地游客都有这个心愿，登上观光平台观赏浦江两岸美景，希望观光平台对公众开放的日子太遥远。读者汪子太反映
0,不要太a,”接着，他向大家传授了两条登山的经验：一是把裤脚卷到膝盖上面；二是走起来步子不要太快。大家按照他的方法一试，果然轻快多了。,”接着，他向大家传授了两条登山的经验：一是把裤脚卷到膝盖上面；二是走起来步子太快。大家按照他的方法一试，果然轻快多了。
0,不要太a,”“胆子不要太大！”“呸！,”“胆子太大！”“呸！
0,不要太a,胆子不要太大，竟敢来污蔑我们。,胆子太大，竟敢来污蔑我们。
0,不要太a,玛法里奥希望她的脑子不要太快清醒，不要让她想起魔法师已经和他们分开了。,玛法里奥希望她的脑子太快清醒，不要让她想起魔法师已经和他们分开了。
0,不要太a,因此对于遗精，精神上不要负担过重，更没有必要自寻苦恼，只要治好生殖器疾病，适当节欲，建立正常生活制度，多参加文体活动，把精力集中到工作、学习上，睡觉不要俯卧，被子不要太厚，内裤不要太紧，过一段时间就会逐渐恢复正常的。,因此对于遗精，精神上不要负担过重，更没有必要自寻苦恼，只要治好生殖器疾病，适当节欲，建立正常生活制度，多参加文体活动，把精力集中到工作、学习上，睡觉不要俯卧，被子太厚，内裤不要太紧，过一段时间就会逐渐恢复正常的。
0,不要太a,调子不要太高，要争取广大中间读者。,调子太高，要争取广大中间读者。
0,不要太a,注意使用的镊子不要太尖，划要排着直划，不可用力太猛以免划坏纱盖。,注意使用的镊子太尖，划要排着直划，不可用力太猛以免划坏纱盖。
0,不要太a,如果是人工喂养，给孩子的奶嘴上的孔不要太大，让孩子通过嘬、吸、咬等动作训练口腔肌肉。,如果是人工喂养，给孩子的奶嘴上的孔太大，让孩子通过嘬、吸、咬等动作训练口腔肌肉。
0,不要太a,阿马罗碰了碰教堂司事的肩膀说：“你一定不要太伤心啊，埃斯格利亚斯大叔，这是天主的命令。,阿马罗碰了碰教堂司事的肩膀说：“你一定太伤心啊，埃斯格利亚斯大叔，这是天主的命令。
0,不要太a,“明天我一清早就走，一定不要太急躁。有无数的山鹬。,“明天我一清早就走，一定太急躁。有无数的山鹬。
0,不要太a,记起这才是罗兰第二次的经验，他决定不要太急躁，便打横把她抱了起来，走向楼上的卧室。,记起这才是罗兰第二次的经验，他决定太急躁，便打横把她抱了起来，走向楼上的卧室。
0,不要太a,人家不要太胖！”“不会啦！,人家太胖！”“不会啦！
0,不要太a,因此，作家不要太聪明，更不能自恃聪明，面对生活还是老老实实地将自己投入其中，这才是最要紧的。,因此，作家太聪明，更不能自恃聪明，面对生活还是老老实实地将自己投入其中，这才是最要紧的。
0,不要太a,值得注意的是热刺对狼队，两队没有交锋记录，而且热刺也是有名的问题球队，本场比赛很有可能翻船，如果出了0大家不要太意外。德甲方面从球队的走势来看，勒沃库森可以做0胆，斯图加特做3胆，而不莱梅与拜仁倾向分出胜负。,值得注意的是热刺对狼队，两队没有交锋记录，而且热刺也是有名的问题球队，本场比赛很有可能翻船，如果出了0大家太意外。德甲方面从球队的走势来看，勒沃库森可以做0胆，斯图加特做3胆，而不莱梅与拜仁倾向分出胜负。
0,不要太a,其实孩子本身他是开放的，他是什么都有的，现在就看，我们想把孩子，想要孩子变成什么样，我假定他就是天才，那他一定就是天才，没有问题的，也就是说这个地方大家不要太实在了。,其实孩子本身他是开放的，他是什么都有的，现在就看，我们想把孩子，想要孩子变成什么样，我假定他就是天才，那他一定就是天才，没有问题的，也就是说这个地方大家太实在了。
0,不要太a,”原来是南京发来的国民党中央军事委员会委员长令，令中说：“抗日在即，国家正在用人之际，中央本着既往不咎之态度，兹命朱德出面，将陕北流窜之土匪残部收编为国民革命军第八路军，由朱德任总指挥，彭德怀任副总指挥……八路军划归阎锡山之第二战区序列，防区划定为晋东北，敕令朱德三日之内周恩来则站起来说：“我看大家不要太激动。其实他蒋介石怎么说都无所谓，总之，他同意红军改编，就是承认了共产党。,”原来是南京发来的国民党中央军事委员会委员长令，令中说：“抗日在即，国家正在用人之际，中央本着既往不咎之态度，兹命朱德出面，将陕北流窜之土匪残部收编为国民革命军第八路军，由朱德任总指挥，彭德怀任副总指挥……八路军划归阎锡山之第二战区序列，防区划定为晋东北，敕令朱德三日之内周恩来则站起来说：“我看大家太激动。其实他蒋介石怎么说都无所谓，总之，他同意红军改编，就是承认了共产党。
0,不要太a,最后例行提醒大家不要太紧张太劳累就结束了会议。,最后例行提醒大家太紧张太劳累就结束了会议。
0,不要太a,他说，西部经济基础太薄弱，自然环境又不理想，人才特别缺乏，要开发，困难重重，大家不要太盲目，也不要太乐观。,他说，西部经济基础太薄弱，自然环境又不理想，人才特别缺乏，要开发，困难重重，大家太盲目，也不要太乐观。
0,不要太a,雷笑天一看到她就蹙起眉，很不赞同她的举动的说：“女孩家不要太好奇，快闪到一旁去。,雷笑天一看到她就蹙起眉，很不赞同她的举动的说：“女孩家太好奇，快闪到一旁去。
0,不要太a,“我劝各位，"莫里斯继续说道，“以后对小资本家不要太苛刻了。,“我劝各位，"莫里斯继续说道，“以后对小资本家太苛刻了。
0,不要太a,实施健康教育的形式多种多样，我们主要采用如下形式：（１）口头教育：口头教育语言要简单、通俗、语调要生动，表情要丰富，一次讲解的内容不要太多，要使抽象的内容变得具体。,实施健康教育的形式多种多样，我们主要采用如下形式：（１）口头教育：口头教育语言要简单、通俗、语调要生动，表情要丰富，一次讲解的内容太多，要使抽象的内容变得具体。
0,不要太a,四是要抓“精”，树立精品意识，内容不要太杂，务求做到主题新、事实新、角度新，篇篇可读。,四是要抓“精”，树立精品意识，内容太杂，务求做到主题新、事实新、角度新，篇篇可读。
0,不要太a,若传染性不大，则安排他从事相对不要太累、太辛苦的工作，也会叮嘱他本人出外交际稍稍注意一些。,若传染性不大，则安排他从事相对太累、太辛苦的工作，也会叮嘱他本人出外交际稍稍注意一些。
0,不要太a,他根本没有想到要探究病人详细的病情，考虑一下那身体在被子下面是怎样躺着的，那消瘦的小腿，腰和背脊是怎样缩成一团，是否可以稍微躺得舒服一点，有没有办法使他即使不能好一些，至少不要太难受了。,他根本没有想到要探究病人详细的病情，考虑一下那身体在被子下面是怎样躺着的，那消瘦的小腿，腰和背脊是怎样缩成一团，是否可以稍微躺得舒服一点，有没有办法使他即使不能好一些，至少太难受了。
0,不要太a,”所以付大头每每哭过的第二天，付玉成若是在镇子里碰见听闻了哭声的人，人家就会劝他：“唉，老付，摊上了就不要太焦心，把自己哭坏了怎么好？,”所以付大头每每哭过的第二天，付玉成若是在镇子里碰见听闻了哭声的人，人家就会劝他：“唉，老付，摊上了就太焦心，把自己哭坏了怎么好？
0,不要太a,我想可能在前面冥冥之中有另外一个什么东西在等着你，所以就不要太牵强，什么东西都抓着不放，然后钻牛角尖，跟自己过不去。,我想可能在前面冥冥之中有另外一个什么东西在等着你，所以就太牵强，什么东西都抓着不放，然后钻牛角尖，跟自己过不去。
0,不要太a,老师你就不要太认真了，我后面的课也不打算上了，打分时候交给你两张画打分就可以了。,老师你就太认真了，我后面的课也不打算上了，打分时候交给你两张画打分就可以了。
0,不要太a,“那你就不要太劳累！”“我知道，还有什么要打字的吗？,“那你就太劳累！”“我知道，还有什么要打字的吗？
0,不要太a,刘芳的一位婶娘心疼地对刘芳说：『你对公公已经尽到孝心了，能将就的地方，你就不要太认真了。,刘芳的一位婶娘心疼地对刘芳说：『你对公公已经尽到孝心了，能将就的地方，你就太认真了。
0,不要太a,”“对于免费眼务，老姐就不要太挑剔了。,”“对于免费眼务，老姐就太挑剔了。
0,不要太a,如个子不是很高，裙子就不要太长，齐膝或稍过膝盖即可，太长显得拖沓、沉重。,如个子不是很高，裙子就太长，齐膝或稍过膝盖即可，太长显得拖沓、沉重。
0,不要太a,但为了匹配东方妮这美名，女主角的名字就不要太柔美了，干脆叫“虎儿”，一柔一刚，绝配！,但为了匹配东方妮这美名，女主角的名字就太柔美了，干脆叫“虎儿”，一柔一刚，绝配！
0,不要太a,如果不是故意的，家长的态度就不要太严厉，但也要耐心告诉他错在什么地方；如果是故意的，一定要让他认识到错误的严重性，让他保证以后不再犯。,如果不是故意的，家长的态度就太严厉，但也要耐心告诉他错在什么地方；如果是故意的，一定要让他认识到错误的严重性，让他保证以后不再犯。
0,不要太a,你是我见过最好的女孩，满腹经纶，多才多艺，厨艺是差了一点啦，不过洗大婶煮的菜还能入口，我就不要太挑剔，其实，我也有点厌倦当花蜂追浪蝶的生活，如果你不介意，咱们就凑合着一起过日子，这是求婚握，我从来没跟谁这样说过，是真心诚恳地示爱，你要是拒绝我，我也不要活了。,你是我见过最好的女孩，满腹经纶，多才多艺，厨艺是差了一点啦，不过洗大婶煮的菜还能入口，我就太挑剔，其实，我也有点厌倦当花蜂追浪蝶的生活，如果你不介意，咱们就凑合着一起过日子，这是求婚握，我从来没跟谁这样说过，是真心诚恳地示爱，你要是拒绝我，我也不要活了。
0,不要太a,女儿，如果你是个孝顺女儿，那就不要太激动，不要让你自己发烧。,女儿，如果你是个孝顺女儿，那就太激动，不要让你自己发烧。
0,不要太a,“恩，那就不要太威猛太热情是吧？,“恩，那就太威猛太热情是吧？
0,不要太a,婴儿时期喂养牛奶，就不要太甜，只要与人奶甜度相近就可以了。,婴儿时期喂养牛奶，就太甜，只要与人奶甜度相近就可以了。
0,不要太a,原则问题，大事，治厂，执行各项管理条款，一定要严，该宽时，就要宽；该退该让的，就不要太死板，就退让点。,原则问题，大事，治厂，执行各项管理条款，一定要严，该宽时，就要宽；该退该让的，就太死板，就退让点。
0,不要太a,父亲最后说，在苏联主要是学习和研究问题，寻找娜娅如果很困难，就不要太麻烦了。,父亲最后说，在苏联主要是学习和研究问题，寻找娜娅如果很困难，就太麻烦了。
0,不要太a,其实，上海应该就是地上地下分流，地上有的地下不要重复，客流、物流都要分出来；黄浦江世博会地区的楼层不要太密集，要防止海潮。,其实，上海应该就是地上地下分流，地上有的地下不要重复，客流、物流都要分出来；黄浦江世博会地区的楼层太密集，要防止海潮。
0,不要太a,强生公司的司机老刘兴奋地告诉笔者：“这两天坐出租车的民工不要太多，派头倒比阿拉上海人还要大。,强生公司的司机老刘兴奋地告诉笔者：“这两天坐出租车的民工太多，派头倒比阿拉上海人还要大。
0,不要太a,生活起居应避免迎风而卧、久吹电扇，用空调要注意温差不要太大，以防外入侵，引起上呼吸道感染。,生活起居应避免迎风而卧、久吹电扇，用空调要注意温差太大，以防外入侵，引起上呼吸道感染。
0,不要太a,预防“空调病”室内外和车内外的温差不要太大，否则容易发生感冒或肠胃不适等症状。,预防“空调病”室内外和车内外的温差太大，否则容易发生感冒或肠胃不适等症状。
0,不要太a,”大姑娘陈英表示，她和二妹对相貌没有任何要求，只要年龄相差不要太大（超过15岁）就行。,”大姑娘陈英表示，她和二妹对相貌没有任何要求，只要年龄相差太大（超过15岁）就行。
0,不要太a,他命令自己不要太快律动，让她先适应它的存在。,他命令自己太快律动，让她先适应它的存在。
0,不要太a,我尽可能地使自己不要太悲伤。不幸的是，我无法做到。,我尽可能地使自己太悲伤。不幸的是，我无法做到。
0,不要太a,他克制自己不要太深入地攫住她。,他克制自己太深入地攫住她。
