1,婉华的眼珠子差点儿没吓掉了，直盯着她眼前那“孔雀”瞧个不停。,婉华的眼珠子差点儿吓掉了，直盯着她眼前那“孔雀”瞧个不停。,,,
1,她大呼一口气，差点没给闷死，回头一望。,她大呼一口气，差点给闷死，回头一望。,,,
1,差点没让他给吓死……”话才说完，当儿又回到古代去了。,差点让他给吓死……”话才说完，当儿又回到古代去了。,,,
1,小喜带我来的，虽然那只什么洛克鸟飞在半空中，差点没把我给吓死，但能见到你，这一切就都值得了。,小喜带我来的，虽然那只什么洛克鸟飞在半空中，差点把我给吓死，但能见到你，这一切就都值得了。,,,
1,自从乃文那天回去之后，整个人都变了，我和乃亭差点没被他折磨死，所以我和乃亭决定来解决你们之间的误会。,自从乃文那天回去之后，整个人都变了，我和乃亭差点被他折磨死，所以我和乃亭决定来解决你们之间的误会。,,,
1,她差点没让火车站的人笑死！,她差点让火车站的人笑死！,,,
1,”上校差点没给他的话气死，这算哪门子安慰的话！,”上校差点给他的话气死，这算哪门子安慰的话！,,,
1,原来是你呀，差点没把人家吓死！ ,原来是你呀，差点把人家吓死！ ,,,
1,在抢劫一妇女时，李积民竟用一根两头系着钥匙环的吉它琴弦差点没把那名妇女勒死。,在抢劫一妇女时，李积民竟用一根两头系着钥匙环的吉它琴弦差点把那名妇女勒死。,,,
1,他只好咬着百吉饼开车去上班。一次会车的时候，麦克曼纽斯差点没被饼噎死。,他只好咬着百吉饼开车去上班。一次会车的时候，麦克曼纽斯差点被饼噎死。,,,
1,邵丽一听，小脖一梗说：“咳！谁他妈的喜欢这玩意儿！”柳莺差点没给她这话噎死，瞪大眼睛，十分诧异。,邵丽一听，小脖一梗说：“咳！谁他妈的喜欢这玩意儿！”柳莺差点给她这话噎死，瞪大眼睛，十分诧异。,,,
1,李果叹了口气，无可奈何地说：“我哪有那么大能耐呀？这段时间查‘问题奶粉’差点没把我们累死，那才叫过分呢，有的婴儿吃了那个奶粉，连命都没了！”,李果叹了口气，无可奈何地说：“我哪有那么大能耐呀？这段时间查‘问题奶粉’差点把我们累死，那才叫过分呢，有的婴儿吃了那个奶粉，连命都没了！”,,,
1,“我的天!”姨妈道，“我差点没给撑死!我午饭通常是只喝一杯牛奶的。”,“我的天!”姨妈道，“我差点给撑死!我午饭通常是只喝一杯牛奶的。”,,,
1,自从乃文那天回去之后，整个人都变了，我和乃亭差点没被他折磨死，所以我和乃亭决定来解决你们之间的误会。,自从乃文那天回去之后，整个人都变了，我和乃亭差点被他折磨死，所以我和乃亭决定来解决你们之间的误会。,,,
1,七六年，地震时差点没给砸死。全校房子都倒了，大家都睡在一块儿。,七六年，地震时差点给砸死。全校房子都倒了，大家都睡在一块儿。,,,
1,我二姑去闹，说是瞒着她给了我三姨一台双缸洗衣机，差点没把我妈气得晕死过去醒不过来。,我二姑去闹，说是瞒着她给了我三姨一台双缸洗衣机，差点把我妈气得晕死过去醒不过来。,,,
1,他压在我身上，差点没把我憋死。,他压在我身上，差点把我憋死。,,,
1,那个写信的，一天一封“地址内详”；那个扬言要割碗的，差点没把你吓死。,那个写信的，一天一封“地址内详”；那个扬言要割碗的，差点把你吓死。,,,
1,上次和你妈去了趟售楼处看看，差点没把我气死，从谈房子的方式到签合同，没有一句不是在骗人。,上次和你妈去了趟售楼处看看，差点把我气死，从谈房子的方式到签合同，没有一句不是在骗人。,,,
1,再说，就为这一个“林苑”，文革时差点没把她斗得死去活来，她是再也不想提这个的了。,再说，就为这一个“林苑”，文革时差点把她斗得死去活来，她是再也不想提这个的了。,,,
1,看来我不出来澄清，这事情似乎没完没了了。我一说出真相，差点没被同事骂死，不过好歹平息一场闹鬼风波。,看来我不出来澄清，这事情似乎没完没了了。我一说出真相，差点被同事骂死，不过好歹平息一场闹鬼风波。,,,
1,麦克默多擦去额上的冷汗，说道，"没有想到是你来，我亲爱的，我差点没把你扼死。来吧，亲爱的，",麦克默多擦去额上的冷汗，说道，"没有想到是你来，我亲爱的，我差点把你扼死。来吧，亲爱的，",,,
1,后来，她坐在门槛上睡着了，屋子里冷得要命，我拉她拉不动，差点没把我们冻死。,后来，她坐在门槛上睡着了，屋子里冷得要命，我拉她拉不动，差点把我们冻死。,,,
1,整间屋子立刻陷入一片沉默。族长对哈札投以一个凶狠的眼神，差点没把这个年轻人当场射死。,整间屋子立刻陷入一片沉默。族长对哈札投以一个凶狠的眼神，差点把这个年轻人当场射死。,,,
1,她伸出双手，但另一个珊迦却连忙退开，尖声喊叫着。其他的纽特一拥而上，差点没把她挤死。,她伸出双手，但另一个珊迦却连忙退开，尖声喊叫着。其他的纽特一拥而上，差点把她挤死。,,,
1,老李当过侦察员，打太原的时候差点儿没在护城河里呛死，后来去了朝鲜的上甘岭，又差点儿没给炸死。毕竟是死过两次的人了，处事很安静，在老伴儿跟前也很少争辩。,老李当过侦察员，打太原的时候差点儿在护城河里呛死，后来去了朝鲜的上甘岭，又差点儿给炸死。毕竟是死过两次的人了，处事很安静，在老伴儿跟前也很少争辩。,,,
1,直到今天上午，这张发黄的女人照片又鬼使神差地出现在“七月二十八”，出现在金一趟的面前，差点儿没把老人吓死过去！,直到今天上午，这张发黄的女人照片又鬼使神差地出现在“七月二十八”，出现在金一趟的面前，差点儿把老人吓死过去！,,,
1,录音机的磁带，就是去年八月节那盘神秘的磁带，翠花唱《窦娥冤》差点儿没把金一趟吓死的那盘磁带。,录音机的磁带，就是去年八月节那盘神秘的磁带，翠花唱《窦娥冤》差点儿把金一趟吓死的那盘磁带。,,,
1,慢性儿说：“我这儿听戏哪，我这孩子给我送信儿来了，说我家着火啦，我说听完戏回去不晚，这个人打了我一个大嘴巴，差点儿没把我打死。”,慢性儿说：“我这儿听戏哪，我这孩子给我送信儿来了，说我家着火啦，我说听完戏回去不晚，这个人打了我一个大嘴巴，差点儿把我打死。”,,,
1,他一撒手，整个儿把老爷扔河里啦！差点儿没把老爷淹死。,他一撒手，整个儿把老爷扔河里啦！差点儿把老爷淹死。,,,
1,好嘛，差点儿没把孩子“秃鲁”死，这么好的孩子不都让你耽误了吗？,好嘛，差点儿把孩子“秃鲁”死，这么好的孩子不都让你耽误了吗？,,,
1,甲：“这梦，差点儿没把我吓死。”,甲：“这梦，差点儿把我吓死。”,,,
1,这滋味可不大好受，因为她连拖带拉地紧紧勾住菲利普，差点儿没把他憋死。,这滋味可不大好受，因为她连拖带拉地紧紧勾住菲利普，差点儿把他憋死。,,,
1,眼前就有个例子：您知道吗，一年半以前，他让我多么吃惊和震动，差点儿没把我折磨死，因为他突然想跟这个，她叫什么来着，——跟这个扎尔尼岑娜的女儿，也就是他女房东的女儿结婚？,眼前就有个例子：您知道吗，一年半以前，他让我多么吃惊和震动，差点儿把我折磨死，因为他突然想跟这个，她叫什么来着，——跟这个扎尔尼岑娜的女儿，也就是他女房东的女儿结婚？,,,
1,她显示了女人的变化莫测，回来后竟说，她在我们过去的那条街上差点儿没给憋死，她这次回旧居实在感到"不得其所"，她从没见过那样不方便的楼梯。,她显示了女人的变化莫测，回来后竟说，她在我们过去的那条街上差点儿给憋死，她这次回旧居实在感到"不得其所"，她从没见过那样不方便的楼梯。,,,
1,我的上司差一点没把我给杀死，第二天我再次被派到新缪灵。,我的上司差一点把我给杀死，第二天我再次被派到新缪灵。,,,
1,他们这一下子就摘了老人的面了，差一点没把老人气死！”,他们这一下子就摘了老人的面了，差一点把老人气死！”,,,
1,有一回在新泽西州他们差一点没把我淹死。,有一回在新泽西州他们差一点把我淹死。,,,
1,扣儿的手臂马上爬上他的颈子紧紧搂着，差点没勒死他。,扣儿的手臂马上爬上他的颈子紧紧搂着，差点勒死他。,,,
1,她说我好可怕，一睡著，过不了多久，就像条蛇一样地缠住她，怎么拉也拉不开，偏偏我睡熟后就不容易醒，即使她想叫我醒来放开她也没法子，只好任我缠著她睡到天亮，差点没掐死她。,她说我好可怕，一睡著，过不了多久，就像条蛇一样地缠住她，怎么拉也拉不开，偏偏我睡熟后就不容易醒，即使她想叫我醒来放开她也没法子，只好任我缠著她睡到天亮，差点掐死她。,,,
1,”龙搴差点没来段“以死明志”，以表明自己的清白。,”龙搴差点来段“以死明志”，以表明自己的清白。,,,
1,天知道我一进办公室，笑得差点没昏死过去。,天知道我一进办公室，笑得差点昏死过去。,,,
1,仙儿艰难地清清喉咙，绽出一朵媚态横生的笑容，看得刘老夫人差点没昏死过去。,仙儿艰难地清清喉咙，绽出一朵媚态横生的笑容，看得刘老夫人差点昏死过去。,,,
1,差点没噎死她！,差点噎死她！,,,
1,差点没痛死。,差点痛死。,,,
1,你还敢笑，你知道我看到这个报导差点没气死吗！,你还敢笑，你知道我看到这个报导差点气死吗！,,,
1,也不知是比较笨还是怎么地，竟然安分地留在台湾念大学，原想他经过两年没碰书会生疏许多，可是也不见他怎么努力，就给他随随便便地考上人人梦寐以求的大学，害得当时正准备联考的她差点没一头撞死，若不幸落榜，要她这脸住哪摆去？,也不知是比较笨还是怎么地，竟然安分地留在台湾念大学，原想他经过两年没碰书会生疏许多，可是也不见他怎么努力，就给他随随便便地考上人人梦寐以求的大学，害得当时正准备联考的她差点一头撞死，若不幸落榜，要她这脸住哪摆去？,,,
1,安筱琪呆了呆，好一会才松了一口气，真差点没吓死她。,安筱琪呆了呆，好一会才松了一口气，真差点吓死她。,,,
1,”她羡慕地低喃，怎奈她就是旱鸭子一只，学也学下会，每每都被水呛得乱七八糟的，有一回还差点没溺死，从那次之后她便不再下水，顶多像现在一样伸脚在水里打打水，聊胜于无嘛！,”她羡慕地低喃，怎奈她就是旱鸭子一只，学也学下会，每每都被水呛得乱七八糟的，有一回还差点溺死，从那次之后她便不再下水，顶多像现在一样伸脚在水里打打水，聊胜于无嘛！,,,
1,“噗——”禹立纲刚喝下去的咖啡全呛出来，“咳咳咳……”他趴在桌上狂咳，足足咳了五分钟之久，差点没呛死。,“噗——”禹立纲刚喝下去的咖啡全呛出来，“咳咳咳……”他趴在桌上狂咳，足足咳了五分钟之久，差点呛死。,,,
1,”为了这架钢琴，差点没累死我好几位尊者。,”为了这架钢琴，差点累死我好几位尊者。,,,
1,”婉华差点没吐血昏死。,”婉华差点吐血昏死。,,,
1,烈文差点儿没呕死。,烈文差点儿呕死。,,,
1,“少爷抱你回来时，你浑身湿透又晕倒了，差点没吓死我。,“少爷抱你回来时，你浑身湿透又晕倒了，差点吓死我。,,,
1,”刘婶此话一出，差点没吓死彩凤。,”刘婶此话一出，差点吓死彩凤。,,,
1,就算为他差点没掐死她的事报点小仇，反正他说不能碍到他的“眼”；现在她在长廊上来回“散步”，他总没说过不行。,就算为他差点掐死她的事报点小仇，反正他说不能碍到他的“眼”；现在她在长廊上来回“散步”，他总没说过不行。,,,
1,万姿文着实被她这股气势震慑了好一会儿，待回过神重新咀嚼这段话，差点没气到呛死，恼道：“你骂我什么？,万姿文着实被她这股气势震慑了好一会儿，待回过神重新咀嚼这段话，差点气到呛死，恼道：“你骂我什么？,,,
1,又是爬墙，差点没摔死，然后又是飙车的，从小到大，何曾经历过这样惊险的事？,又是爬墙，差点摔死，然后又是飙车的，从小到大，何曾经历过这样惊险的事？,,,
1,”晴儿着着两人，一直笑，说：“吃亏的不是她们，是皇后和容嬷嬷，差点没有被她们两个给淹死！,”晴儿着着两人，一直笑，说：“吃亏的不是她们，是皇后和容嬷嬷，差点被她们两个给淹死！,,,
1,”芊芊真是“闻所未闻”，“见所未见”，眨巴着她那双灵活的大眼睛，她只是对若鸿见她这样“惊奇”，就哈哈大笑了起来：“其实没什么，很普通的事，对我来说是家常便饭，上次我掉进西湖，差点没淹死，这次掉到田里，完全是小状况！,”芊芊真是“闻所未闻”，“见所未见”，眨巴着她那双灵活的大眼睛，她只是对若鸿见她这样“惊奇”，就哈哈大笑了起来：“其实没什么，很普通的事，对我来说是家常便饭，上次我掉进西湖，差点淹死，这次掉到田里，完全是小状况！,,,
1,＂蓝少白想将蹲在会场门口的宋婕拉走，她却动也不动的存心跟他僵持到底，差点没气死他！,＂蓝少白想将蹲在会场门口的宋婕拉走，她却动也不动的存心跟他僵持到底，差点气死他！,,,
1,”吼完之后，他觉得舒服多了，他已经好几天没对念凡咆哮了，差点没憋死他。,”吼完之后，他觉得舒服多了，他已经好几天没对念凡咆哮了，差点憋死他。,,,
1,不过佑佑所不知道的是，他临时想起的好计谋差点没将杨礼军给气死。,不过佑佑所不知道的是，他临时想起的好计谋差点将杨礼军给气死。,,,
1,即使他已经是百般的不耐烦，仍强打起精神，假装很有兴趣的聆听，三不五时还得点头附和，真是差点没有恶死他，他现在只想快将事情打理完毕，好回“成王府”睡觉补眠，顺便清清脑袋里因“既然李公子那么有诚意，那抡某还有什么话说？,即使他已经是百般的不耐烦，仍强打起精神，假装很有兴趣的聆听，三不五时还得点头附和，真是差点恶死他，他现在只想快将事情打理完毕，好回“成王府”睡觉补眠，顺便清清脑袋里因“既然李公子那么有诚意，那抡某还有什么话说？,,,
1,＂玄逍被姬川的利爪掐得差点没痛死。,＂玄逍被姬川的利爪掐得差点痛死。,,,
1,他一见差点没吓死，忙跑过来阻止，神情比刚接到车祸通知时还紧张。,他一见差点吓死，忙跑过来阻止，神情比刚接到车祸通知时还紧张。,,,
1,”高家晔差点没因此疼死，她咬牙切齿的回头，“放手！,”高家晔差点因此疼死，她咬牙切齿的回头，“放手！,,,
1,”李吟秋闻言，差点没羞死。,”李吟秋闻言，差点羞死。,,,
1,闻人斯少顿时没了笑容，更是气得青筋暴凸，眸中狂怒的炽火差点没烧死颜佳昕。,闻人斯少顿时没了笑容，更是气得青筋暴凸，眸中狂怒的炽火差点烧死颜佳昕。,,,
1,贞阳坐了三天花轿，差点没闷死在里头，抵死不肯再进花轿。,贞阳坐了三天花轿，差点闷死在里头，抵死不肯再进花轿。,,,
1,因为当天不只她，还加上十几个饭店的工作人员，一起看见他赤裸的身子，他差点没被大批人马冲过来的阵式活活吓死；而面面相觑的工作人员，差点没笑死，当然，还包括了她在内。,因为当天不只她，还加上十几个饭店的工作人员，一起看见他赤裸的身子，他差点没被大批人马冲过来的阵式活活吓死；而面面相觑的工作人员，差点笑死，当然，还包括了她在内。,,,
1,你不但无耻、肮脏、下流、卑鄙、龌龊、没品，而且还……”她的吼骂声还没骂完，又是一阵呕心，令她差点没呕死过去，真的好难受！,你不但无耻、肮脏、下流、卑鄙、龌龊、没品，而且还……”她的吼骂声还没骂完，又是一阵呕心，令她差点呕死过去，真的好难受！,,,
1,我差点没吓死，低叫一声。,我差点吓死，低叫一声。,,,
1,”我一看，差点没气死，真亏她想得出来的，一万里路去带生蒸包子。,”我一看，差点气死，真亏她想得出来的，一万里路去带生蒸包子。,,,
1,”他把我一直拉出去，落楼梯时差点没摔死。,”他把我一直拉出去，落楼梯时差点摔死。,,,
1,去年他爬法属亚尔卑斯‘吐朗’峰，差点没摔死。,去年他爬法属亚尔卑斯‘吐朗’峰，差点摔死。,,,
1,可是她的脚绊了我的皮鞋，那只皮鞋方头大耳，像只潜水艇形状，又够重量，她差点没摔死，我赶紧扶住了她。,可是她的脚绊了我的皮鞋，那只皮鞋方头大耳，像只潜水艇形状，又够重量，她差点摔死，我赶紧扶住了她。,,,
1,”吴阳听到了，他差点没气死，心里已经呕得要命，这个小姑娘还火上加油。,”吴阳听到了，他差点气死，心里已经呕得要命，这个小姑娘还火上加油。,,,
1,”差点没活活叫他给气死！,”差点活活叫他给气死！,,,
1,“今晚我吃得好饱，差点没撑死……”“你的确吃得太多了。,“今晚我吃得好饱，差点撑死……”“你的确吃得太多了。,,,
1,我差点没咳死。,我差点咳死。,,,
1,”小乌鸦吓死了，只见这回可躲不过那迎面砍确来的剑，她差点没吓得昏死过去。,”小乌鸦吓死了，只见这回可躲不过那迎面砍确来的剑，她差点吓得昏死过去。,,,
1,他一瞧见我，就不分青红皂白的拿鞭子朝我挥来，差点没打死我！,他一瞧见我，就不分青红皂白的拿鞭子朝我挥来，差点打死我！,,,
1,红霓与他曾有数面之缘，商场上夸他奖他褒它的声浪差点没溺死她，难得的是贺连晨还懂得谦和为贵的道理，丝毫没有纨裤公子的骄奢习性。,红霓与他曾有数面之缘，商场上夸他奖他褒它的声浪差点溺死她，难得的是贺连晨还懂得谦和为贵的道理，丝毫没有纨裤公子的骄奢习性。,,,
1,“小红——冉夫人听到这个声音差点没吓死，她以为是冉云来了。,“小红——冉夫人听到这个声音差点吓死，她以为是冉云来了。,,,
1,亭嫣气得差点儿没昏死过去！,亭嫣气得差点儿昏死过去！,,,
1,“其实没什么，很普通的事，对我来说是家常便饭，上次我掉进西湖，差点没淹死，这次掉到田里，完全是小状况！”,“其实没什么，很普通的事，对我来说是家常便饭，上次我掉进西湖，差点淹死，这次掉到田里，完全是小状况！”,,,
1,就是那一夜，哑巴女受了孕。她父亲给她乱服草药，差点没毒死，大吐大泻，胎始终打不下来。,就是那一夜，哑巴女受了孕。她父亲给她乱服草药，差点毒死，大吐大泻，胎始终打不下来。,,,
1,我一个人种五亩地，差点没累死。我从没干过农活，学着村里人的样子干活，别说有多慢了。,我一个人种五亩地，差点累死。我从没干过农活，学着村里人的样子干活，别说有多慢了。,,,
1,近来他参加了“地头蛇”袭击队，又让肖飞搞了他一家伙，差点没有热死，他就越发地反动了。,近来他参加了“地头蛇”袭击队，又让肖飞搞了他一家伙，差点热死，他就越发地反动了。,,,
1,城里的会刚散，下了一阵雷暴雨，河堤上不好走，他一路赶去，差点没摔死。,城里的会刚散，下了一阵雷暴雨，河堤上不好走，他一路赶去，差点摔死。,,,
1,直着眼看了一会儿，先把凤魁拉起来，又把那五扶起来。把两人都叫进屋，才问怎么档子事。那五说：“我差点没死在外头，好容易挣命奔回来，我知道是怎么档子事?”,直着眼看了一会儿，先把凤魁拉起来，又把那五扶起来。把两人都叫进屋，才问怎么档子事。那五说：“我差点死在外头，好容易挣命奔回来，我知道是怎么档子事?”,,,
1,我关里关外闯荡了二十多年，日本鬼子差点没打死我，国民党衙门压过我的杠子，财主们逼的我家破人亡，俺爹死在黄河后套，俺娘讨饭死在荒郊野外。.,我关里关外闯荡了二十多年，日本鬼子差点打死我，国民党衙门压过我的杠子，财主们逼的我家破人亡，俺爹死在黄河后套，俺娘讨饭死在荒郊野外。.,,,
1,开开门一看，老头儿蹦着就出来啦：“哎！驴回来啦！我说王铁嘴这卦灵嘛，一副药就回来啦。驴是回来啦，我差点没拉死！”过来摸摸这驴：“驴呀！驴呀！你哪儿去啦？你可把我想死了！要没王铁嘴这副药你回不来了。”,开开门一看，老头儿蹦着就出来啦：“哎！驴回来啦！我说王铁嘴这卦灵嘛，一副药就回来啦。驴是回来啦，我差点拉死！”过来摸摸这驴：“驴呀！驴呀！你哪儿去啦？你可把我想死了！要没王铁嘴这副药你回不来了。”,,,
1,想了半天，实在估计也想不出什么理由来了就说：有时候去超市买东西吧，打车又觉得近了点不划算，走路又远了点。所以自己开车去了！听得我差点没恶心死。你开车去超市买个方便面不觉得恶心么？别以为买了车能证明什么。,想了半天，实在估计也想不出什么理由来了就说：有时候去超市买东西吧，打车又觉得近了点不划算，走路又远了点。所以自己开车去了！听得我差点恶心死。你开车去超市买个方便面不觉得恶心么？别以为买了车能证明什么。,,,
1,哼，你倒开心，玩得挺美……可我在家呢！你也得想想孩子啊。我自己喂奶，可是我的奶坏了。佩佳差点没死掉。,哼，你倒开心，玩得挺美……可我在家呢！你也得想想孩子啊。我自己喂奶，可是我的奶坏了。佩佳差点死掉。,,,
1,张知事自然不会一赌气子上街去看看，于是躺在床上差点没瘾死过去。,张知事自然不会一赌气子上街去看看，于是躺在床上差点瘾死过去。,,,
1,老孟低着头对自己笑了一下：“哼，我作主任合适！”我差点没憋死，我不敢笑出来。,老孟低着头对自己笑了一下：“哼，我作主任合适！”我差点憋死，我不敢笑出来。,,,
1,老李当过侦察员，打太原的时候差点儿没在护城河里呛死，后来去了朝鲜的上甘岭，又差点儿没给炸死。毕竟是死过两次的人了，处事很安静，在老伴儿跟前也很少争辩。,老李当过侦察员，打太原的时候差点儿在护城河里呛死，后来去了朝鲜的上甘岭，又差点儿给炸死。毕竟是死过两次的人了，处事很安静，在老伴儿跟前也很少争辩。,,,
1,我三弟在朝鲜可是跳下河去救过一个美国俘虏兵，差点儿没淹死，十个脚趾头都冻掉了。,我三弟在朝鲜可是跳下河去救过一个美国俘虏兵，差点儿淹死，十个脚趾头都冻掉了。,,,
1,金秀差点儿没叫她拿话噎死，眼泪都憋出来了，也只说出来一个字∶“你……”,金秀差点儿叫她拿话噎死，眼泪都憋出来了，也只说出来一个字∶“你……”,,,
1,乙：哎哟，差点儿没憋死。,乙：哎哟，差点儿憋死。,,,
1,霍·阿·布恩蒂亚哈哈大笑，差点儿没有笑死，他得出结论说，迷信的印第安人捏造了无数的疾病，这就是其中的一种。,霍·阿·布恩蒂亚哈哈大笑，差点儿笑死，他得出结论说，迷信的印第安人捏造了无数的疾病，这就是其中的一种。,,,
1,严志和说：“咳！我差一点儿没病死；冯老兰拿那么一点钱，把我们一辈子的血汗搂过去，把我们的谷仓抠在他的手里，那就等于要了我的命根子……”,严志和说：“咳！我差一点儿病死；冯老兰拿那么一点钱，把我们一辈子的血汗搂过去，把我们的谷仓抠在他的手里，那就等于要了我的命根子……”,,,
1,一边喊，一边不放心地又朝那条泄了气的蛇身连开三枪，再一抬头，差一点没当场噎死。,一边喊，一边不放心地又朝那条泄了气的蛇身连开三枪，再一抬头，差一点当场噎死。,,,
1,太太说小雅格差一点没有淹死。马伯乐听了就哭了起来┉┉,太太说小雅格差一点淹死。马伯乐听了就哭了起来┉┉,,,
1,试问马伯乐的心情到底为什么愉快呢？鼻子摔破了，差一点没有摔死，摔得昏迷不省，人事不知，到现在那鼻子还在肿着。,试问马伯乐的心情到底为什么愉快呢？鼻子摔破了，差一点摔死，摔得昏迷不省，人事不知，到现在那鼻子还在肿着。,,,
1,把宝盖一揭，喊了一声：“三啦！”宋金刚不理会，那几个宝魔差一点没死过去，都抱怨贾高眼：“都是你！你说没三，看，裤子没了吧！”,把宝盖一揭，喊了一声：“三啦！”宋金刚不理会，那几个宝魔差一点死过去，都抱怨贾高眼：“都是你！你说没三，看，裤子没了吧！”,,,
1,下面的陡坡足有三十英尺深。我差一点没掉下去摔死。,下面的陡坡足有三十英尺深。我差一点掉下去摔死。,,,
1,她在一辆堆满伤兵牛车底层发现了凯里·阿什伯恩，他头部中了颗子弹，差一点没有死掉。可是不去碰旁边六个重伤号，要把他拉出来是不可能的，她只得让他就这样躺着去医院了。,她在一辆堆满伤兵牛车底层发现了凯里·阿什伯恩，他头部中了颗子弹，差一点死掉。可是不去碰旁边六个重伤号，要把他拉出来是不可能的，她只得让他就这样躺着去医院了。,,,
1,”钱老才又吃这一惊，吓得只差点儿没尿了裤裆，支支吾吾道：“我，我脑袋发昏……”便捏着屁股眼溜走了。,”钱老才又吃这一惊，吓得只差点儿尿了裤裆，支支吾吾道：“我，我脑袋发昏……”便捏着屁股眼溜走了。,,,
1,早些年羽毛未丰，凭一腔青春热血冲冲打打的陈永康，就差点没被有的疑难案子难住，也有过在迷宫式的案件中反反复复折腾的苦恼。,早些年羽毛未丰，凭一腔青春热血冲冲打打的陈永康，就差点被有的疑难案子难住，也有过在迷宫式的案件中反反复复折腾的苦恼。,,,
1,费克斯只差一点没晕过去。,费克斯只差一点晕过去。,,,
1,”您要是处在我们的地位又能怎样?我们央求，责骂，争论，抗议，就差点没施用暴力，事实上也不能用——谁能从她的浴室里强制拖走一位轻盈高雅的美丽妇女呢?无论如何我们不能这么干。,”您要是处在我们的地位又能怎样?我们央求，责骂，争论，抗议，就差点施用暴力，事实上也不能用——谁能从她的浴室里强制拖走一位轻盈高雅的美丽妇女呢?无论如何我们不能这么干。,,,
1,可是老蔡非常人也，除非是白老大这样身分的人，他才会这样善待有一次，超级大豪富陶启泉就差点没有给他抓著头发拖出去！,可是老蔡非常人也，除非是白老大这样身分的人，他才会这样善待有一次，超级大豪富陶启泉就差点给他抓著头发拖出去！,,,
1,瓦尔瓦拉·伊万诺夫娜说，因为她开始说起法国话来，老百姓就差一点没把她打死……”“就是那么一回事……您把一切太放在心上了。,瓦尔瓦拉·伊万诺夫娜说，因为她开始说起法国话来，老百姓就差一点把她打死……”“就是那么一回事……您把一切太放在心上了。,,,
1,只差一点没和那漂亮女人做成一回好事。,只差一点和那漂亮女人做成一回好事。,,,
1,父亲搂着、亲着她，笑得嘴都合不拢，却只差一点没把我气昏。,父亲搂着、亲着她，笑得嘴都合不拢，却只差一点把我气昏。,,,
1,那棍子只差一点儿没有打着他的脑袋。,那棍子只差一点儿打着他的脑袋。,,,
1,那次在世界之窗赛马，他吓得汗如雨下，只差点没跌落马呢！,那次在世界之窗赛马，他吓得汗如雨下，只差点跌落马呢！,,,
1,”傅标道：“据说已垂在胸膛之上，只差一点没有断。,”傅标道：“据说已垂在胸膛之上，只差一点断。,,,
1,”孟都气得只差一点儿没有吐血，厉声道：“叫你滚，你还在胡说什么？,”孟都气得只差一点儿吐血，厉声道：“叫你滚，你还在胡说什么？,,,
1,“住手──”唐宁突然尖叫起来，这一叫只差一点没有叫破她的嗓子。,“住手──”唐宁突然尖叫起来，这一叫只差一点叫破她的嗓子。,,,
1,”拱着双手，并双脚，毕恭毕敬的躬身九十度，真如老臣见皇帝一般，只差点没跪下来。,”拱着双手，并双脚，毕恭毕敬的躬身九十度，真如老臣见皇帝一般，只差点跪下来。,,,
1,”他怅然失望已极，只差点没掉眼泪。,”他怅然失望已极，只差点掉眼泪。,,,
1,”小千干笑道：“有奇迹就好了，可惜奇迹只出现一半；还烧了我不少地方，只差点没脱层皮。,”小千干笑道：“有奇迹就好了，可惜奇迹只出现一半；还烧了我不少地方，只差点脱层皮。,,,
1,”武帝笑的更苦：“只差点没咽了气，所以才来找你帮忙。,”武帝笑的更苦：“只差点咽了气，所以才来找你帮忙。,,,
1,务祈尽力以赴，簪花披红……”几个人你一言，我一语，期盼之情溢于言表，那不但是一种振奋喜悦，更是一种祈求希望，如此急切，如此焦迫，就差一点没说出来！,务祈尽力以赴，簪花披红……”几个人你一言，我一语，期盼之情溢于言表，那不但是一种振奋喜悦，更是一种祈求希望，如此急切，如此焦迫，就差一点说出来！,,,
1,就差一点没跪下来叩响头叫祖宗！,就差一点跪下来叩响头叫祖宗！,,,
1,”雷雄就差一点没气死在当场，他跳着脚，满眼晕黑的大骂大吼：“我操你个祖奶奶，你你你—…。,”雷雄就差一点气死在当场，他跳着脚，满眼晕黑的大骂大吼：“我操你个祖奶奶，你你你—…。,,,
1,他感叹一声，又道：“舒云，莫亡了，有些朋友还说我风流好色，经常拈花惹草，就差点没把我形容成皇帝老九，后宫中还藏着佳丽三千了……”,他感叹一声，又道：“舒云，莫亡了，有些朋友还说我风流好色，经常拈花惹草，就差点把我形容成皇帝老九，后宫中还藏着佳丽三千了……”,,,
1,然而已经将夏侯杰腰间的衣服绞得粉碎，只差一点没伤及肌虞。,然而已经将夏侯杰腰间的衣服绞得粉碎，只差一点伤及肌虞。,,,
1,”谢瑜噘着嘴道：“莫前辈，您不知道静室中面壁是什么滋味，以前我犯了错也被关过，才三天就差点没把我逼疯了，现在要我禁闭六十年之久，那不是要我的命了。,”谢瑜噘着嘴道：“莫前辈，您不知道静室中面壁是什么滋味，以前我犯了错也被关过，才三天就差点把我逼疯了，现在要我禁闭六十年之久，那不是要我的命了。,,,
1,她只差一点没有扑入薛陵怀中：喜容满面，道：“终于让我找到啦！,她只差一点扑入薛陵怀中：喜容满面，道：“终于让我找到啦！,,,
1,”薛陵眼见仇人逃走，虎目圆睁，忿恨填膺，只差一点没有横剑自刎。,”薛陵眼见仇人逃走，虎目圆睁，忿恨填膺，只差一点横剑自刎。,,,
