1,两年后他高兴地说，第一口差点没吐，后来一次能喝三大碗。,两年后他高兴地说，第一口差点吐，后来一次能喝三大碗。
1,忽然大梁咯吱咯吱响起来，妻子抱起孩子就往外跑，跑到院里才喊叫我，差一点没有把我砸在屋里。,忽然大梁咯吱咯吱响起来，妻子抱起孩子就往外跑，跑到院里才喊叫我，差一点把我砸在屋里。
1,曾有传说，有人对我的级别，发生了疑问，差一点没有定为处级。,曾有传说，有人对我的级别，发生了疑问，差一点定为处级。
1,芒种直直的望着，牲口把水喝干了，用嘴把梢桶挑起来，当啷一声，差一点没掉到井里去，春儿回过头来笑了。,芒种直直的望着，牲口把水喝干了，用嘴把梢桶挑起来，当啷一声，差一点掉到井里去，春儿回过头来笑了。
1,”随手就撒开了大黑狗，俗儿跳起来，乱着头发跑出来，春儿也跟着跑出来，大黑狗一直追到街上，差一点没叼住她的裤子。,”随手就撒开了大黑狗，俗儿跳起来，乱着头发跑出来，春儿也跟着跑出来，大黑狗一直追到街上，差一点叼住她的裤子。
1,”这是一句老实话，李佩钟听了差点没笑出来。,”这是一句老实话，李佩钟听了差点笑出来。
1,春儿听出是俗儿的声口，差一点没有呕吐起来。,春儿听出是俗儿的声口，差一点呕吐起来。
1,哥几个差点没背过去，为什么都没想到这么一个简单的答案？,哥几个差点背过去，为什么都没想到这么一个简单的答案？
1,”我两眼一黑，差点儿没晕过去。,”我两眼一黑，差点儿晕过去。
1,现在看来，自己的感受并没有错，当初差点儿没有被一时的假象而蒙蔽。,现在看来，自己的感受并没有错，当初差点儿被一时的假象而蒙蔽。
1,第一步踏进门的是郎华，差一点没踏碎那小鱼。,第一步踏进门的是郎华，差一点踏碎那小鱼。
1,我又想起来小哑巴，小哑巴让他们踏了一脚，手指差一点没有踏断。,我又想起来小哑巴，小哑巴让他们踏了一脚，手指差一点踏断。
1,小燕子是很喜欢水的，有时误飞到这泥坑上来，用翅子点着水，看起来很危险，差一点没有被泥坑陷害了它，差一点没有被粘住，赶快地头也不回地飞跑了。,小燕子是很喜欢水的，有时误飞到这泥坑上来，用翅子点着水，看起来很危险，差一点没有被泥坑陷害了它，差一点被粘住，赶快地头也不回地飞跑了。
1,他一屁股倒到了沙发上，眼球差点儿没突出来。,他一屁股倒到了沙发上，眼球差点儿突出来。
1,……”佟老师跳着脚，榨着那副女人似的嗓子叫着——嘴里那两颗金牙差点儿没掉下来。,……”佟老师跳着脚，榨着那副女人似的嗓子叫着——嘴里那两颗金牙差点儿掉下来。
1,那位头发很光的小伙子差点儿没哭出来。,那位头发很光的小伙子差点儿哭出来。
1,说了巧格力的坏话就似乎说了他卞德全的坏话，他觉得受了委屈，差点没掉下眼泪。,说了巧格力的坏话就似乎说了他卞德全的坏话，他觉得受了委屈，差点掉下眼泪。
1,”——卞德全的心脏差点没跳出嘴来。,”——卞德全的心脏差点跳出嘴来。
1,眼睛睁得差点没突出眼眶来。,眼睛睁得差点突出眼眶来。
1,那位客人一开口，她就猛地回过脸来，那浆过了的高衣领卡住了她脖子，差点儿没“咯”地叫出来。,那位客人一开口，她就猛地回过脸来，那浆过了的高衣领卡住了她脖子，差点儿“咯”地叫出来。
1,愤怒得差点没昏过去。,愤怒得差点昏过去。
1,史兆昌差点儿没昏过去。,史兆昌差点儿昏过去。
1,”又叹了口气，心跳得差点没蹦出嘴里来。,”又叹了口气，心跳得差点蹦出嘴里来。
1,史兆昌惊得差点没摔倒。,史兆昌惊得差点摔倒。
1,忽然——丁寿松感到一个千把斤重的东西往他身上一压，差点儿没跌倒。,忽然——丁寿松感到一个千把斤重的东西往他身上一压，差点儿跌倒。
1,刚一跨进后门，突然——他被谁一撞，差点儿没摔下地。,刚一跨进后门，突然——他被谁一撞，差点儿摔下地。
1,正在这个时候——有个什么碰了他的胳膊一下：一震，手里的东西差点儿没掉下地。,正在这个时候——有个什么碰了他的胳膊一下：一震，手里的东西差点儿掉下地。
1,姓丁的赶紧一让，差一点没摔一跤。,姓丁的赶紧一让，差一点摔一跤。
1,我差一点没有说出：你身边那些小伙子够多了，干吗要来骚扰我们葡萄园哪！,我差一点说出：你身边那些小伙子够多了，干吗要来骚扰我们葡萄园哪！
1,有一次院里传谣言，说米和油的价格要大幅度调整，所以家家囤积，对于抢购这类举动，文革向来不配合，宝姑就提了辆行李车自己买，结果差点没挤晕过去，幸好晓明下班路过，救出宝姑，又为她抢了一些米、油，送至家中。,有一次院里传谣言，说米和油的价格要大幅度调整，所以家家囤积，对于抢购这类举动，文革向来不配合，宝姑就提了辆行李车自己买，结果差点挤晕过去，幸好晓明下班路过，救出宝姑，又为她抢了一些米、油，送至家中。
1,”衣红差点没气疯，马上与文祥又卸了妆。,”衣红差点气疯，马上与文祥又卸了妆。
1,天啊，她爱人家里生产的飞机零件居然会被安装在你我乘坐的飞机上，我听了差一点没突发心脏病。谁知红莲还雪上加霜地来了一句：我们都已经做了好多年了。,天啊，她爱人家里生产的飞机零件居然会被安装在你我乘坐的飞机上，我听了差一点突发心脏病。谁知红莲还雪上加霜地来了一句：我们都已经做了好多年了。
1,”小僧侣看着一大群朝自己逼近的蛇女，张牙吐信的恐怖模样，吓得差点没哭出来。,”小僧侣看着一大群朝自己逼近的蛇女，张牙吐信的恐怖模样，吓得差点哭出来。
1,“这…这傻小子…教皇……”亚克的下巴差点没掉下来。,“这…这傻小子…教皇……”亚克的下巴差点掉下来。
1,”“我演戏并非因为我是演员，而是因为我是研究契诃夫戏剧的，我的俄国导师对我说，要想真正体会到契诃夫，光读他的书不行，必须到舞台上去站一站……”“姐姐这一站不要紧，差点没站出个大明星……噢，不不，差点没失去个大作家。,”“我演戏并非因为我是演员，而是因为我是研究契诃夫戏剧的，我的俄国导师对我说，要想真正体会到契诃夫，光读他的书不行，必须到舞台上去站一站……”“姐姐这一站不要紧，差点站出个大明星……噢，不不，差点没失去个大作家。
1,”“我演戏并非因为我是演员，而是因为我是研究契诃夫戏剧的，我的俄国导师对我说，要想真正体会到契诃夫，光读他的书不行，必须到舞台上去站一站……”“姐姐这一站不要紧，差点没站出个大明星……噢，不不，差点没失去个大作家。,”“我演戏并非因为我是演员，而是因为我是研究契诃夫戏剧的，我的俄国导师对我说，要想真正体会到契诃夫，光读他的书不行，必须到舞台上去站一站……”“姐姐这一站不要紧，差点没站出个大明星……噢，不不，差点失去个大作家。
1,”猛一听“辛苦啦”这三个字，林雁冬差点儿没乐出来：我这么卖命干，我们领导都没说一声“辛苦”，还得等人家八竿子打不着的人来说，真够逗的！,”猛一听“辛苦啦”这三个字，林雁冬差点儿乐出来：我这么卖命干，我们领导都没说一声“辛苦”，还得等人家八竿子打不着的人来说，真够逗的！
1,我本来不大喝酒，又吃过饭了，差点儿没说出宁愿喝可乐的话，幸亏及时想到自己是来道谢的，再提什么要求就不像话了，马上把可乐的念头打住，在饭桌前坐了下来。,我本来不大喝酒，又吃过饭了，差点儿说出宁愿喝可乐的话，幸亏及时想到自己是来道谢的，再提什么要求就不像话了，马上把可乐的念头打住，在饭桌前坐了下来。
1,末了腐蚀剂还漏出来，差点没在脸上添个洞。,末了腐蚀剂还漏出来，差点在脸上添个洞。
1,”他就是差一点儿没有说：咱们分道扬镳吧！,”他就是差一点儿说：咱们分道扬镳吧！
1,”郭健一听难得的“人才”这几个字，差一点没捧腹大笑起来。,”郭健一听难得的“人才”这几个字，差一点捧腹大笑起来。
1,两个人来到夜总会，胡延平把门一打开，一股潮湿气和物品腐烂混合在一起的怪味就扑面而来，熏得郭健差点没干呕起来，连大气都不敢喘。,两个人来到夜总会，胡延平把门一打开，一股潮湿气和物品腐烂混合在一起的怪味就扑面而来，熏得郭健差点干呕起来，连大气都不敢喘。
1,”钟运来听了他这些话，差点没喷口大笑起来，他心里想：你还做得正，行得端？,”钟运来听了他这些话，差点喷口大笑起来，他心里想：你还做得正，行得端？
1,”赵巧茹又有声有色地说，“我一看也把头发烫得又焦又黄，差一点没问她，好好的头发，干啥要去把它烫成这么个炸尸的头？,”赵巧茹又有声有色地说，“我一看也把头发烫得又焦又黄，差一点问她，好好的头发，干啥要去把它烫成这么个炸尸的头？
1,最让肖明难以容忍的是，有一次，他去外地学习回来，报销差旅费和学习用品时，正队长在填好的报销单上都签了字，可她就是找了一大堆理由，说啥也不给报销，把他气得鼻子差一点儿没歪到五台山去。,最让肖明难以容忍的是，有一次，他去外地学习回来，报销差旅费和学习用品时，正队长在填好的报销单上都签了字，可她就是找了一大堆理由，说啥也不给报销，把他气得鼻子差一点儿歪到五台山去。
1,”“杜宁，”张琼差点没跳起来，“你疯啦！,”“杜宁，”张琼差点跳起来，“你疯啦！
1,”钟运来听了他对赵巧茹这顿眉飞色舞的夸奖，差点没说出：“你别让我起鸡皮疙瘩了。,”钟运来听了他对赵巧茹这顿眉飞色舞的夸奖，差点说出：“你别让我起鸡皮疙瘩了。
1,肖明看着看着，差一点没失声大叫起来，他实在无法看下去了，闭着眼睛转身就逃一般地走了。,肖明看着看着，差一点失声大叫起来，他实在无法看下去了，闭着眼睛转身就逃一般地走了。
1,”站在门口的郭健听了这句话，差一点没笑出声来：这叫什么话呢？,”站在门口的郭健听了这句话，差一点笑出声来：这叫什么话呢？
1,一次，是我和小眼镜、亨亨几个人在一起胡聊，正在讲两天前的夜里，在校部看电影时，差点儿没打起来的一场群架。,一次，是我和小眼镜、亨亨几个人在一起胡聊，正在讲两天前的夜里，在校部看电影时，差点儿打起来的一场群架。
1,”罗水泊讲到这一句话，用力地挥舞着拳头，差点儿没打着我的鼻子，哈！,”罗水泊讲到这一句话，用力地挥舞着拳头，差点儿打着我的鼻子，哈！
1,”我差点儿没笑出声。,”我差点儿笑出声。
1,当时我差点没哭出来，心想她实在是了解我，不但知道我一定会去，更事先体谅我会常常想念她的心理需求，竟然放弃了这栋房子可以充份利用的经济价值，让它闲置在此，只为了我偶尔想到过来这么一次两次的可能性。,当时我差点哭出来，心想她实在是了解我，不但知道我一定会去，更事先体谅我会常常想念她的心理需求，竟然放弃了这栋房子可以充份利用的经济价值，让它闲置在此，只为了我偶尔想到过来这么一次两次的可能性。
1,”大伙儿一听差点没跌倒！,”大伙儿一听差点跌倒！
1,”差点没呛到，接连咳了好几声。,”差点呛到，接连咳了好几声。
1,她喝了第一口时，差点没吐出来。,她喝了第一口时，差点吐出来。
1,”和我母亲骂小的儿的词汇一样，只是嗓门要高出许多，不记得父亲在什么场合喊过这么漂亮的一嗓子，倒也听过一这一嗓子，倒真把小的儿吓坏了，冷不防，她打了一个冷战，一连向后退了三步，险一些，小的儿差一点没跌倒在地上。,”和我母亲骂小的儿的词汇一样，只是嗓门要高出许多，不记得父亲在什么场合喊过这么漂亮的一嗓子，倒也听过一这一嗓子，倒真把小的儿吓坏了，冷不防，她打了一个冷战，一连向后退了三步，险一些，小的儿差一点跌倒在地上。
1,”小孩醒来，差一点没有吓得掉下牛背。,”小孩醒来，差一点吓得掉下牛背。
1,”蒲刘氏：“衙门里有一个姓康的，叫什么康利贞，不正经的东西，长一双色眼，昨天差一点没有让我一棍子打断他的狗腰。,”蒲刘氏：“衙门里有一个姓康的，叫什么康利贞，不正经的东西，长一双色眼，昨天差一点让我一棍子打断他的狗腰。
1,那个人看样子有三十多岁，还戴着脚镣，一出来就扑倒在周炳怀里，差一点儿没有摔在地上。,那个人看样子有三十多岁，还戴着脚镣，一出来就扑倒在周炳怀里，差一点儿摔在地上。
1,胡树、胡松两兄弟将身一拱，象两匹小老虎似地跳了出来，一个搂着周炳的脖子、一个缠着周炳的腰，把他按到饭桌旁边的木板床上坐下，差一点没跟他三个人滚做一团。,胡树、胡松两兄弟将身一拱，象两匹小老虎似地跳了出来，一个搂着周炳的脖子、一个缠着周炳的腰，把他按到饭桌旁边的木板床上坐下，差一点跟他三个人滚做一团。
1,这小高也太讨厌了，我差一点没哭出来。,这小高也太讨厌了，我差一点哭出来。
1,才顺过气，满脸通红，听到柯政伟的话，差点没晕倒。,才顺过气，满脸通红，听到柯政伟的话，差点晕倒。
1,她停下脚步，身子晃了晃差点没摔倒，突然俯下身子一阵呕吐，吧间顿时弥漫起一股腥臭的酒气。,她停下脚步，身子晃了晃差点摔倒，突然俯下身子一阵呕吐，吧间顿时弥漫起一股腥臭的酒气。
1,幸好马局长抗震能力强，差点没栽倒，真是活见鬼，球都跑到人头上来了，要是往日，马局长准会把那个肇事的学生骂得狗血淋头，叫他一个星期都干不了，回头还得让学生家长双双来陪罪。,幸好马局长抗震能力强，差点栽倒，真是活见鬼，球都跑到人头上来了，要是往日，马局长准会把那个肇事的学生骂得狗血淋头，叫他一个星期都干不了，回头还得让学生家长双双来陪罪。
1,结果，车子开得像鸡飞狗跳一样，路边的人个个都吓得失魂落魄——差点没撞上人。,结果，车子开得像鸡飞狗跳一样，路边的人个个都吓得失魂落魄——差点撞上人。
1,还有几个差点没在他手上掉头的官员，早就一肚皮意见，觉得他杀气腾腾的，不近人情，因此故意放出流言来污染社会空气以汇私愤。,还有几个差点在他手上掉头的官员，早就一肚皮意见，觉得他杀气腾腾的，不近人情，因此故意放出流言来污染社会空气以汇私愤。
1,雷环山乍听到这个消息时，却像被人从背后猛击了一掌，差点没昏厥过去。,雷环山乍听到这个消息时，却像被人从背后猛击了一掌，差点昏厥过去。
1,末雨看见火烤鲜尤鱼乐得直拍手，初云抓起一只赤甲红蟹子差点没夹住手指头，卫东则提篓一只晶亮透明一扎多长的大虾说道：“要吃吃这个！,末雨看见火烤鲜尤鱼乐得直拍手，初云抓起一只赤甲红蟹子差点夹住手指头，卫东则提篓一只晶亮透明一扎多长的大虾说道：“要吃吃这个！
1,再一照镜子，眉毛也烧了一些，我差点没哭出来。,再一照镜子，眉毛也烧了一些，我差点哭出来。
1,差点儿没遣送出国！,差点儿遣送出国！
1,小Ｗ感到阵阵昏晕差点没休克过去！,小Ｗ感到阵阵昏晕差点休克过去！
1,”姜学成差点没背过气去。,”姜学成差点背过气去。
1,赛：我差点没昏过去！,赛：我差点昏过去！
1,”我听了肚子差点没有气爆。,”我听了肚子差点气爆。
1,紧接着，亢河在报纸上连续登出几则广告：原装松下录像机清仓大甩卖……黄建华看价钱差点没吓昏过去——仅比进价高了１０块钱！,紧接着，亢河在报纸上连续登出几则广告：原装松下录像机清仓大甩卖……黄建华看价钱差点吓昏过去——仅比进价高了１０块钱！
1,一次去解放碑上夜课，她一阵眩晕，直想吐，差点没有倒下去。,一次去解放碑上夜课，她一阵眩晕，直想吐，差点倒下去。
1,”魏德华挺了一下身子，差点没从椅子上掉下来。,”魏德华挺了一下身子，差点从椅子上掉下来。
1,”苏禹的话依然很轻，但却让代英差点没掉下泪来。,”苏禹的话依然很轻，但却让代英差点掉下泪来。
1,酒保说了半天，空不出一张整桌来，正急得满头是汗，那名凶眼汉子已等的不耐烦了，一脚踢在陈酒的酒缸上，发出振天价响的声音，差点没踢那土造的酒缸。,酒保说了半天，空不出一张整桌来，正急得满头是汗，那名凶眼汉子已等的不耐烦了，一脚踢在陈酒的酒缸上，发出振天价响的声音，差点踢那土造的酒缸。
1,”大姑娘转了过去，那位公子突然站了起来，差点没撞着大姑娘，大姑娘飞快往后退了半步，他窘迫地笑了笑：“对不起，姑娘，是我冒失……”。,”大姑娘转了过去，那位公子突然站了起来，差点撞着大姑娘，大姑娘飞快往后退了半步，他窘迫地笑了笑：“对不起，姑娘，是我冒失……”。
1,”春兰目光一凝，道：“您刚才在想什么呀，吃饭却心不在焉，筷子差点没伸进酒杯里去。,”春兰目光一凝，道：“您刚才在想什么呀，吃饭却心不在焉，筷子差点伸进酒杯里去。
1,手中斧牛六做梦也未想到对面有斧飞来，横刀一隔，擦肩而过，落向水中，差点没有被斫中，虎口也被震麻，吓了一身冷汗，呆得一呆，余式也就缓过势来，看出水贼本领有限，心中一定。,手中斧牛六做梦也未想到对面有斧飞来，横刀一隔，擦肩而过，落向水中，差点被斫中，虎口也被震麻，吓了一身冷汗，呆得一呆，余式也就缓过势来，看出水贼本领有限，心中一定。
1,稍微细心一点的人看见，便应知道形势利害，你竟妄用我埋伏的法物，差点没误大事。,稍微细心一点的人看见，便应知道形势利害，你竟妄用我埋伏的法物，差点误大事。
1,为首妖徒所踏木板一断，差一点没有坠落江中。,为首妖徒所踏木板一断，差一点坠落江中。
1,三妖徒本来一肚子的恶气无从发泄，行经崖口前面，正在互相谈论，不料一条大柏木船由左侧断崖缺口内冲波乱流横断过来，差一点没有撞上。,三妖徒本来一肚子的恶气无从发泄，行经崖口前面，正在互相谈论，不料一条大柏木船由左侧断崖缺口内冲波乱流横断过来，差一点撞上。
1,人家素昧平生，好意相助，差一点没有把性命送掉，为何无故伸手打人？,人家素昧平生，好意相助，差一点把性命送掉，为何无故伸手打人？
1,事先说明，我拿不准，你们宫亲老爷的身价都不怕险，莫非我还胆小，又不愿受人闲气，勉强听他，差一点没有闹出入命。,事先说明，我拿不准，你们宫亲老爷的身价都不怕险，莫非我还胆小，又不愿受人闲气，勉强听他，差一点闹出入命。
1,轿下面的木排时轻时重，吃狂风一吹，左右乱晃，有好几次，差一点没有翻到水里。,轿下面的木排时轻时重，吃狂风一吹，左右乱晃，有好几次，差一点翻到水里。
1,忽见前面大树下有两人对饮，先由桑林走出，心中寻思，不曾留意，前面又有大树挡住，差一点没有冒失走近，忙即停住。,忽见前面大树下有两人对饮，先由桑林走出，心中寻思，不曾留意，前面又有大树挡住，差一点冒失走近，忙即停住。
1,”龙姑低声笑道：“你这呆子，既然寻到地头，忙这一半日做什，根本就不该来，差一点没有受那些狗强盗的恶气。,”龙姑低声笑道：“你这呆子，既然寻到地头，忙这一半日做什，根本就不该来，差一点受那些狗强盗的恶气。
1,另有两人刚被怪物抓起，忽听崖顶嘤的一声清啸，怪物立时松手，又追别人；被抓的虽未送命，差一点没有疼晕过去，再遇怪物，便不加害。,另有两人刚被怪物抓起，忽听崖顶嘤的一声清啸，怪物立时松手，又追别人；被抓的虽未送命，差一点疼晕过去，再遇怪物，便不加害。
1,内中两个能手因听自己一喊，正向同党询问，另两个手持兵器朝雷八赶去，一个刚一转身，便有长箭由上发来，穿胁而出，将衣服刺穿一洞，受了一点微伤，差一点没有透胸而过。,内中两个能手因听自己一喊，正向同党询问，另两个手持兵器朝雷八赶去，一个刚一转身，便有长箭由上发来，穿胁而出，将衣服刺穿一洞，受了一点微伤，差一点透胸而过。
1,我早看出此贼水性极好，水深浪大，恐钢镖不易打中，等到临近，先射了他两枝弩箭，现身之后，又打了看他逃时神气，必已受伤，可惜不曾致命，差一点没有被他这飞鱼儿打中，真个好险。,我早看出此贼水性极好，水深浪大，恐钢镖不易打中，等到临近，先射了他两枝弩箭，现身之后，又打了看他逃时神气，必已受伤，可惜不曾致命，差一点被他这飞鱼儿打中，真个好险。
1,说时迟，那时快，敌人第一枝镖箭还未及发出，李强人马已然赶近第一所业已起火的孤楼之下，身后船排也越追越近，有好几枝镖箭由后射来，落在马后水中，差一点没有射中马股。,说时迟，那时快，敌人第一枝镖箭还未及发出，李强人马已然赶近第一所业已起火的孤楼之下，身后船排也越追越近，有好几枝镖箭由后射来，落在马后水中，差一点射中马股。
1,二女先见李强形势奇险，差一点没有受伤，心中一惊,二女先见李强形势奇险，差一点受伤，心中一惊
1,李诚立得较近，差一点没有受伤，因见迎敌诸人死伤殆尽，楼中人声鼎沸，好些地方均已停战，哭喊饶命。,李诚立得较近，差一点受伤，因见迎敌诸人死伤殆尽，楼中人声鼎沸，好些地方均已停战，哭喊饶命。
1,只听夺答两声，头上一震，敌人一把大刀已由头上削过，虽然闪避得快，头盔已被带落，飞出老远，头发当时披散开来，差一点没有送命。,只听夺答两声，头上一震，敌人一把大刀已由头上削过，虽然闪避得快，头盔已被带落，飞出老远，头发当时披散开来，差一点送命。
1,”当时暴噪起来，差一点没有激出民变。,”当时暴噪起来，差一点激出民变。
1,同时又说：“公子真个高明，暗地做了那么多而且好的花灯，我今夜才知底细，差一点没丢大人。,同时又说：“公子真个高明，暗地做了那么多而且好的花灯，我今夜才知底细，差一点丢大人。
1,此贼昔年虽有飞天夜叉之名，他那皮衣轻易不着，没想到会在此相遇，差一点没有冒失出手，为他所伤，惊奇了一阵。,此贼昔年虽有飞天夜叉之名，他那皮衣轻易不着，没想到会在此相遇，差一点冒失出手，为他所伤，惊奇了一阵。
1,沈大嫂这两粒钢丸差点没有把我打伤，都是你这狗贼闹出来的，今天说什么也要算在你的账上。,沈大嫂这两粒钢丸差点把我打伤，都是你这狗贼闹出来的，今天说什么也要算在你的账上。
1,”姜飞方答：“可笑方才崖上所遇五人从后跟踪，差一点没有发生误会。,”姜飞方答：“可笑方才崖上所遇五人从后跟踪，差一点发生误会。
1,一见逃走，正往前赶，没想到逃得快，回得更急，差一点没有撞上。,一见逃走，正往前赶，没想到逃得快，回得更急，差一点撞上。
1,头脚才起，第二脚又踏空下去，非提气轻身不能行走，只稍用力试上一试，脚便深陷尺许，差一点没将裤子刺破，伤了皮肉，便难禁受，不知那马怎会在上飞驰滑行，从未踏空。,头脚才起，第二脚又踏空下去，非提气轻身不能行走，只稍用力试上一试，脚便深陷尺许，差一点将裤子刺破，伤了皮肉，便难禁受，不知那马怎会在上飞驰滑行，从未踏空。
1,方才已紧抓马鬃，迫令慢走，看准当中高处，缓缓朝前驰去，没料到突然有此一窜，事出意外，身子一仰，差一点没有落下马来。,方才已紧抓马鬃，迫令慢走，看准当中高处，缓缓朝前驰去，没料到突然有此一窜，事出意外，身子一仰，差一点落下马来。
1,小狗和马刁滑已极，差一点没吃他亏。,小狗和马刁滑已极，差一点吃他亏。
1,”话未说完，铁板一松，人便纵下，差一点没受重伤。,”话未说完，铁板一松，人便纵下，差一点受重伤。
1,”他的手差一点没有指在胡三杯的鼻尖上。,”他的手差一点指在胡三杯的鼻尖上。
1,白石脱出孟都的控制，半空中也试图挣扎，却还是身不由己，半空中身形一翻，正好落在原位，也一样面向孟都这边，只是双脚差一点没有踏在原来的脚印上，这已经够他尴尬，够群豪震惊的了。,白石脱出孟都的控制，半空中也试图挣扎，却还是身不由己，半空中身形一翻，正好落在原位，也一样面向孟都这边，只是双脚差一点踏在原来的脚印上，这已经够他尴尬，够群豪震惊的了。
1,”老顽童听了他的一席话，气得差点儿没背过气去，怪叫一声，如一条电光一般地向那圣主扑了过去。,”老顽童听了他的一席话，气得差点儿背过气去，怪叫一声，如一条电光一般地向那圣主扑了过去。
1,胡永祥看得是气得七窍生烟，差点没有吐血昏倒。,胡永祥看得是气得七窍生烟，差点吐血昏倒。
1,程金宝差点没笑出来，两点要赶不上，他真该买块豆腐一头撞死算了。,程金宝差点笑出来，两点要赶不上，他真该买块豆腐一头撞死算了。
1,”张大夫仔细诊视，口中啧啧连声，道：“真走运，刀刃在胫骨上滑向下方，差一点没有被砍断！,”张大夫仔细诊视，口中啧啧连声，道：“真走运，刀刃在胫骨上滑向下方，差一点被砍断！
1,哪知那个孩子回头瞪了他一眼，推开他的手，道：“滚开——”这一推力道还真大，杨尚云冷不妨的一个踉跄，差一点没栽倒地上,哪知那个孩子回头瞪了他一眼，推开他的手，道：“滚开——”这一推力道还真大，杨尚云冷不妨的一个踉跄，差一点栽倒地上
1,”朱元峰差点没将一口菜汤喷出来。,”朱元峰差点将一口菜汤喷出来。
1,”田雨龙差点没跳起来，叫着道：“什么？,”田雨龙差点跳起来，叫着道：“什么？
1,”燕青道：“那只是技巧而已，你跟她们斗了半天，我已经看准了她们的虚实，才一击成功，可是我已经累得差点没倒下去，等她们一走，我实在撑不住了。,”燕青道：“那只是技巧而已，你跟她们斗了半天，我已经看准了她们的虚实，才一击成功，可是我已经累得差点倒下去，等她们一走，我实在撑不住了。
1,马百平听得一皱眉头，燕青又大声笑道：“小弟今天把你拖得来，就是要你尝尝看，这紫霞洞春色无边，迎来新到的一批娘儿们，个个都是绝色，尤其是领班那个老鸨儿，功夫更是道地，只可惜年纪大了一点，小弟上次跟她狂了半夜，差点没送掉她半条老命。,马百平听得一皱眉头，燕青又大声笑道：“小弟今天把你拖得来，就是要你尝尝看，这紫霞洞春色无边，迎来新到的一批娘儿们，个个都是绝色，尤其是领班那个老鸨儿，功夫更是道地，只可惜年纪大了一点，小弟上次跟她狂了半夜，差点送掉她半条老命。
1,”杜英豪差点没跳起来，而且感到很？,”杜英豪差点跳起来，而且感到很？
1,”菊芳差点没气昏过去，但她终於忍住了下来，叹了口气清：“英豪，许朗月是我特他设法请了来的。,”菊芳差点气昏过去，但她终於忍住了下来，叹了口气清：“英豪，许朗月是我特他设法请了来的。
1,”杜英豪先还听的很高与，因为菊芳的话中显得情意绵绵的，但听到最後一句，差点没跳起来，连忙道：“菊芳，你可不是我老婆。,”杜英豪先还听的很高与，因为菊芳的话中显得情意绵绵的，但听到最後一句，差点跳起来，连忙道：“菊芳，你可不是我老婆。
1,”黄真差点没气昏过去，赛玄坛赵子昌寒着脸道：“杜英豪，你也是成名人物，居然对这些才出师的弟子们下手，也不怕江湖同道齿冷吗？,”黄真差点气昏过去，赛玄坛赵子昌寒着脸道：“杜英豪，你也是成名人物，居然对这些才出师的弟子们下手，也不怕江湖同道齿冷吗？
1,你的琴不学也罢，那位洪老夫子被你气得差点没吐血，要不是因为这具琴很名贵，他真会砸碎了它！,你的琴不学也罢，那位洪老夫子被你气得差点吐血，要不是因为这具琴很名贵，他真会砸碎了它！
1,卢安笑着道：“小姐，咱们家这位姑爷可真了不起，天坍下来，他也能一手撑起，老爷刚回来的时候，神气怕人极了，差点没要杀人，奴才吓得连话也不敢回，姑爷进来的时候，奴才还捏住一把冷汗，那知道不消片刻的工夫，居然把老爷给说得眉开眼笑。,卢安笑着道：“小姐，咱们家这位姑爷可真了不起，天坍下来，他也能一手撑起，老爷刚回来的时候，神气怕人极了，差点要杀人，奴才吓得连话也不敢回，姑爷进来的时候，奴才还捏住一把冷汗，那知道不消片刻的工夫，居然把老爷给说得眉开眼笑。
1,你是个大忙人，放了个肥缺，还没有上任，省亲归来就把长安差点没闹翻过来，听说你还把未婚妻子也带到平康里去大大的风光了一番，如果是那位卢小姐作东，我倒是可以破例一陪。,你是个大忙人，放了个肥缺，还没有上任，省亲归来就把长安差点闹翻过来，听说你还把未婚妻子也带到平康里去大大的风光了一番，如果是那位卢小姐作东，我倒是可以破例一陪。
1,”刘学镛差点没跳起来，急声道：“这……这的确是个很棘手的问题，公子莫非已得有所闻了？,”刘学镛差点跳起来，急声道：“这……这的确是个很棘手的问题，公子莫非已得有所闻了？
1,”李益差一点没有笑出来，他想刘老儿如果打了这个主意，就会碰一鼻子灰了，自己的那一套完全不是他所想的，也不是他学得会的，就算当着皇帝的面说出来，他也只有干瞪眼的份。,”李益差一点笑出来，他想刘老儿如果打了这个主意，就会碰一鼻子灰了，自己的那一套完全不是他所想的，也不是他学得会的，就算当着皇帝的面说出来，他也只有干瞪眼的份。
1,各人的父兄在龙府的暖楼上也过了一夜，差点没出事，而且飞贼用的迷魂香使她们失去了知觉，让她们没有受到惊扰，也省了许多麻烦。,各人的父兄在龙府的暖楼上也过了一夜，差点出事，而且飞贼用的迷魂香使她们失去了知觉，让她们没有受到惊扰，也省了许多麻烦。
1,”谢玉茜脸上一红，晏四笑道：“自然是跟着我们去的，她见到哥儿俩进了窑子，差点没气得发疯，把我老头子赶进去抓他们出来，她自己还是不放心……”谢玉茜红着脸道：“我以为您也堕进风流阵里，乐而忘返了！,”谢玉茜脸上一红，晏四笑道：“自然是跟着我们去的，她见到哥儿俩进了窑子，差点气得发疯，把我老头子赶进去抓他们出来，她自己还是不放心……”谢玉茜红着脸道：“我以为您也堕进风流阵里，乐而忘返了！
1,”宗喀巴差点没气破肚子，却是一句话都说不出来，因为这套功夫的确没有别的用处。,”宗喀巴差点气破肚子，却是一句话都说不出来，因为这套功夫的确没有别的用处。
